Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
pubsum;196954;;"Final Report Summary - SUSTAIN EU-ASEAN (SUSTAIN EU-ASEAN: Sustain and enhance cooperation on sustainable development between Europe and Southeast Asia)";603518_PS;"SUSTAIN EU-ASEAN, an European Union FP7 project, focuses on climate action, resource efficiency and raw materials issues and will aim to enhance collaboration between researchers in the EU and the ASEAN region. Addressing these issues in a coherent way is vital for sustainable...";;FP7-ENVIRONMENT;;;;en;en;"2017-04-06 12:50:44";https://cordis.europa.eu/project/id/603518/reporting
pubsum;145905;;"Final Report Summary - ECO-PRO (Professional promotion of eco-innovative research results through a new media integrated platform for SMEs, research and the public)";283111_PS;"Europe is a leader in environmental research but needs to accelerate uptake of R&D results to produce products, services and policies that will contribute to our economy and provide answers to societal challenges. The ECO-PRO project was an FP7 support action...";;FP7-ENVIRONMENT;;;;en;en;"2014-08-07 16:16:10";https://cordis.europa.eu/project/id/283111/reporting
pubsum;141574;;"Final Report Summary - ENF 2013 (EuroNanoForum 2013 Nanotechnology Innovation: From research to commercialisation – the bridge to Horizon2020)";319114_PS;"EuroNanoForum 2013 (ENF 2013), the sixth and latest in this series of bi-ennial conferences, was held in Dublin this year. The very successful growth of this major conference was again sustained. Approximately 1500 delegates from almost 60 countries ensured that ENF2013 was...";;FP7-NMP;;;;en;en;"2014-07-08 17:24:21";https://cordis.europa.eu/project/id/319114/reporting
pubsum;194981;;"Periodic Reporting for period 2 - INSPIRATION (INtegrated Spatial PlannIng, land use and soil management Research ActTION)";642372_PS;"Europeans need multi-functional and healthy soils – safeguarded by effective urban and rural spatial planning and sustainable management. Best available knowledge has to be considered to maintain natural capital while satisfying the needs of a prosperous society. Research...";;H2020-EU.3.5.,H2020-EU.3.5.2.;;;;en;en;"2021-03-17 16:07:48";https://cordis.europa.eu/project/id/642372/reporting
project;218428;AIR-NB;"Pre-natal exposure to urban AIR pollution and pre- and post-Natal Brain development";785994;"Air pollution is the main urban-related environmental hazard. It appears to affect brain development, although current evidence is inadequate given the lack of studies during the most vulnerable stages of brain development and the lack of brain anatomical structure and...";;H2020-EU.1.1.;"/engineering and technology/environmental engineering/air pollution engineering;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors;/medical and health sciences/clinical medicine/obstetrics/postnatal care;/natural sciences/earth and related environmental sciences/environmental sciences/pollution;/engineering and technology/nanotechnology/nano-materials";2018-09-01;2023-08-31;en;en;"2022-09-15 17:00:21";https://cordis.europa.eu/project/id/785994
programme;702822;;"The Future of Seas and Oceans Flagship Initiative";H2020_BG-07-2019-2020;"Proposals shall address one of the following sub-topics: blue cloud services, or ocean observations and forecasting[[All proposals under B) must include an observation part.]], or technologies for observations (in 2020). Actions shall demonstrate integration, capacity and...";;;;;;en;en;"2018-10-30 12:02:13";https://cordis.europa.eu/programme/id/H2020_BG-07-2019-2020
news;442764;;"TRENDING SCIENCE: What can we expect from science in 2023?";442764-trending-science-what-can-we-expect-from-science-in-2023;"From exciting space missions to the place where nuclear waste goes to die, these will be some of Europe’s most fascinating science stories of 2023.";"Fundamental Research";;;;;en;de,en,es,fr,it,pl;"2023-01-05 14:15:34";https://cordis.europa.eu/article/id/442764-trending-science-what-can-we-expect-from-science-in-2023
mag;401047;;"A decade since disaster: Lessons from the economic crisis";401047-a-decade-since-disaster-lessons-from-the-economic-crisis;"It has been 10 years since the collapse of global financial services firm Lehman Brothers, an event that ushered in the worst global economic crisis for 70 years. In Europe, the financial crisis quickly proceeded into the Euro crisis with many devastating social consequences. In this issue, we introduce 14 projects that have made positive contributions to understanding the causes, consequences and lessons learnt from the crisis and how we may work to mitigate the effects of a future conflagration.";;;;;;en;de,en,es,fr,it,pl;"2018-09-04 12:01:00";https://cordis.europa.eu/article/id/401047-a-decade-since-disaster-lessons-from-the-economic-crisis
brief;90827;;"Getting a measure of air pollution";90827-getting-a-measure-of-air-pollution;"Emissions have a severe health impact on European citizens and cost EU health systems and economies tens of billions of euros. Combating pollution like this requires accurate, timely and cost-effective measurement technologies.";"Climate Change and Environment";FP6-SME;;;;en;de,en,es,fr,it,pl;"2013-04-08 16:00:24";https://cordis.europa.eu/article/id/90827-getting-a-measure-of-air-pollution
pubsum;797961;;"Periodic Reporting for period 1 - IS_MIRRI21 (Implementation and Sustainability of Microbial Resource Research Infrastructure for 21st Century)";871129_PS;"The project ISMIRRI_21 aims to implement and to secure the long-term sustainability of the pan‑European Microbial Resource Research Infrastructure (MIRRI), so it entirely fulfils its role on creating innovation and societal value through the preservation, study, provision...";;H2020-EU.1.4.1.1.,H2020-EU.1.4.;;;;en;en;"2022-02-21 19:44:01";https://cordis.europa.eu/project/id/871129/reporting
pubsum;646633;;"Periodic Reporting for period 2 - SKYTOP (Skyrmion-Topological insulator and Weyl semimetal technology)";824123_PS;"SKYTOP-Skyrmion-topological insulator and Weyl semimetal technology SKYTOP develops a technology based on topological quantum matter that can have an impact on information processing and storage.  The project gathers expertise from Greece, France, Germany, Italy and Belgium to...";;H2020-EU.1.2.,H2020-EU.1.2.2.;;;;en;en;"2022-03-25 02:00:04";https://cordis.europa.eu/project/id/824123/reporting
pubsum;197894;;"Periodic Report Summary 2 - FORMAMP (Innovative Nanoformulation of Antimicrobial Peptides to Treat Bacterial Infectious Diseases)";604182_197894_PS;"Project Context and Objectives: The long-term objective of the FORMAMP project is to significantly change the treatment strategies for infectious diseases and to reduce the evolution of multi-resistant bacteria. The project aims to develop new and innovative formulation...";;FP7-NMP;;;;en;en;"2017-05-16 11:29:20";https://cordis.europa.eu/project/id/604182/reporting
pubsum;184894;;"Final Report Summary - SAVVY (Self-assembled virus-like vectors for stem cell phenotyping)";310445_PS;"The project aimed at integrating a number of nanoscale components via hierarchical self-assembly into Raman active particles and evaluating their usability in cell sorting applications. We have made excellent progress towards the nanoscale self-assembly of a complex array of...";;FP7-NMP;;;;en;en;"2016-06-23 13:00:12";https://cordis.europa.eu/project/id/310445/reporting
project;237024;I-CISK;"Innovating Climate services through Integrating Scientific and local Knowledge";101037293;"Climate Services (CS) are crucial in empowering citizens, stakeholders and decision-makers in defining resilient pathways to adapt to climate change and extreme events. Despite advances in scientific data and knowledge (e.g. Copernicus, GEOSS), current CS fail to achieve their...";;H2020-EU.3.5.;"/natural sciences/computer and information sciences/data science;/social sciences/political sciences/political policies/civil society;/natural sciences/earth and related environmental sciences/atmospheric sciences/climatology/climatic changes";2021-11-01;2025-10-31;en;en;"2023-01-07 17:46:14";https://cordis.europa.eu/project/id/101037293
brief;411675;;"Exploring the media’s influence on how European citizens think and feel about immigration";411675-exploring-the-media-s-influence-on-how-european-citizens-think-and-feel-about-immigration;"Immigration has become a hot topic across Europe in recent years but how citizens think and feel about it can be influenced by how the media ‘frames’ immigrants themselves. The IMMIGRANTS project set out to unravel the underlying mechanisms.";Society;H2020-EU.1.3.,H2020-EU.1.3.2.;;;;en;de,en,es,fr,it,pl;"2019-12-13 15:53:05";https://cordis.europa.eu/article/id/411675-exploring-the-media-s-influence-on-how-european-citizens-think-and-feel-about-immigration
publication;814395;;"Quantifying Citizens’ Well-Being in Areas with Natural Based Solutions Using Mobile Computing";869448_1344796_PUBLI;;;;;;;en;en;"2022-04-08 18:49:53";https://doi.org/10.3233/shti210958
pubsum;46731;;"Final Report Summary - ESS3 (European social survey round 3)";1615_PS;"The three aims of the European Social Survey (ESS) were: 

 - to chart and explain changes in Europe's social, political and moral climate; 
 - to achieve and spread standards of rigour in cross-national attitude measurement never accomplished before; and 
 - to achieve recogn...";;FP6-SOCIETY;;;;en;en;"2011-04-14 00:00:00";https://cordis.europa.eu/project/id/1615/reporting
project;91291;PATS;"Privacy Awareness Through Security Branding";230473;"While it can be assumed that the security industry and organisations will increase their efforts to keep and to strengthen trust relations with citizens, the question however remains: how can one raise more awareness of social conflicts and privacy concerns among those public...";;FP7-SIS;"/humanities/arts/modern and contemporary art/radio and television;/social sciences/economics and business/business and management/innovation management;/social sciences/law";2009-08-01;2012-03-31;en;en;"2017-05-29 18:30:49";https://cordis.europa.eu/project/id/230473
project;238766;EmpowerUs;"Socio-economic Empowerment of coastal communities as users of the sea to ensure sustainable coastal development";101059957;"EmpowerUs will enable coastal communities to act for change and transition towards sustainable, inclusive and resilient coastal developments. We assume that true empowerment implies R&I should catalyze, facilitate and support coastal communities in the acquisition of power...";;HORIZON.2.6.4,HORIZON.2.6;"/natural sciences/earth and related environmental sciences/physical geography/cartography/geographic information systems;/natural sciences/biological sciences/ecology/ecosystems;/natural sciences/earth and related environmental sciences/atmospheric sciences/climatology/climatic changes";2022-10-01;2025-09-30;en;en;"2022-08-02 09:56:07";https://cordis.europa.eu/project/id/101059957
project;194953;PhenoMeNal;"PhenoMeNal: A comprehensive and standardised e-infrastructure for analysing medical metabolic phenotype data";654241;"In the coming decade a significant number of the 500.000.000 European (EU/EEA) citizens will have their genome determined routinely. This will be complemented with much cheaper (currently ~20 Euro per measurement) acquisition of the metabolome of biofluids (e.g. urine, saliva...";;H2020-EU.1.4.1.3.,H2020-EU.1.4.;"/natural sciences/computer and information sciences/software;/natural sciences/biological sciences/biochemistry/biomolecules/proteins/proteomics;/natural sciences/physical sciences/astronomy;/natural sciences/biological sciences/genetics/genomes;/natural sciences/computer and information sciences/data science/data processing";2015-09-01;2018-08-31;en;en;"2022-08-15 11:57:35";https://cordis.europa.eu/project/id/654241
programme;703161;;"Strengthening international cooperation on sustainable urbanisation: nature-based solutions for restoration and rehabilitation of urban ecosystems";H2020_SC5-13-2018-2019;"Actions should develop models, tools, decision support systems, methodologies, strategies, guidelines, standards and approaches for the design, construction, deployment and monitoring of nature-based solutions and restoration, prevention of further degradation, rehabilitation...";;;;;;en;en;"2018-10-31 20:26:33";https://cordis.europa.eu/programme/id/H2020_SC5-13-2018-2019
brief;429013;;"Assessing carabid beetles as a biocontrol for slugs and other pests";429013-assessing-carabid-beetles-as-a-biocontrol-for-slugs-and-other-pests;"Conservation biological control, which taps natural predation to control agricultural pests, is environmentally friendly – unlike toxic pesticides. CaraSlug investigated the use of carabid beetles for slug control.";"Food and Natural Resources";H2020-EU.1.3.,H2020-EU.1.3.2.;;;;en;de,en,es,fr,it,pl;"2021-02-12 15:48:34";https://cordis.europa.eu/article/id/429013-assessing-carabid-beetles-as-a-biocontrol-for-slugs-and-other-pests
deliverable;326214;;"Report on the Nature Based Solution Platform Action Plan including mission, members, groups, board";730338_7_DELIV;;;;;;;en;en;"2020-08-08 14:49:54";https://cordis.europa.eu/result/rcn/326214/en
pubsum;251528;;"Periodic Reporting for period 2 - ThinkNature (Development of a multi-stakeholder dialogue platform and Think tank to promote innovation with Nature based solutions)";730338_PS;"""ThinkNature is a Coordination Support Action project designed to coordinate and support the uptake of nature-based solution (NBS) and in this way contribute towards the European Commission's  double goal of economic growth and sustainability. NBS are promising alternatives to...";;H2020-EU.3.5.,H2020-EU.3.5.1.,H2020-EU.3.5.2.;;;;en;en;"2020-03-19 23:37:04";https://cordis.europa.eu/project/id/730338/reporting
pubsum;254538;;"Periodic Reporting for period 1 - MARKTHEPIG (Applied phenomics to identify biomarkers in pigs for new concepts in precision livestock farming)";703094_PS;"The comprehensive and systematic collection of measured phenotypes (phenomics) will help to bridge the gap between genetic variability and phenotypes of the animals. Recent advances in “omics” technologies, could aid in the development of a more accurate molecular-profile...";;H2020-EU.1.3.,H2020-EU.1.3.2.;;;;en;en;"2021-03-31 17:42:05";https://cordis.europa.eu/project/id/703094/reporting
pubsum;198427;;"Periodic Reporting for period 2 - CABRISS (Implementation of a CirculAr economy Based on Recycled, reused and recovered Indium, Silicon and Silver materials for photovoltaic and other applications)";641972_PS;"CABRISS main vision is to develop a circular economy mainly for the photovoltaic, and synergy for electronic and glass industries. It consists of the implementation of: (i) recycling technologies to recover indium (In), silver (Ag) and silicon (Si) for sustainable PV...";;H2020-EU.3.5.,H2020-EU.3.5.4.;;;;en;en;"2021-03-17 15:49:52";https://cordis.europa.eu/project/id/641972/reporting
pubsum;171948;;"Final Report Summary - COMMFABNET (Communication of Food, Fisheries, Agriculture and Biotechnologies research – a network to support EU-funded research projects)";289699_PS;"Executive Summary:The overriding objective of CommFABnet is to significantly improve the information flow from research projects to target groups, stakeholders and users of the research results including the general public.CommFABnet aims to establish a large network of...";;FP7-KBBE;;;;en;en;"2015-10-06 10:32:41";https://cordis.europa.eu/project/id/289699/reporting
pubsum;201869;;"Final Report Summary - MF-RETROFIT (Multifunctional facades of reduced thickness for fast and cost-effective retrofitting)";609345_PS;"1. SUMMARY REPORT 1.1. EXECUTIVE SUMMARY The MF-Retrofit project aims to deal with the numerous requirements of facade panel retrofitting by developing a light-weight, durable, cost effective and high performance panel. Its layered structure allows for separate but also...";;FP7-NMP;;;;en;en;"2017-07-24 17:22:01";https://cordis.europa.eu/project/id/609345/reporting
pubsum;165665;;"Final Report Summary - GREENAVOID (GREENHOUSE SOLUTION TO AVOID FILM COVER  U.V. AND SULPHUR DEGRADATION)";298644_PS;"Executive Summary:In Europe, cultivation in plastic greenhouses has permitted the conversion of apparently unproductive farmland into modern agriculture holdings. Different types of plastics, such as polyvinyl chloride (PVC), polycarbonate (PC) and low density polyethylene...";;FP7-SME;;;;en;en;"2015-06-17 11:52:14";https://cordis.europa.eu/project/id/298644/reporting
pubsum;164222;;"Final Report Summary - MOWE-IT (Management of weather events in transport system)";314506_PS;"Executive Summary:MOWE-IT project has brought together the state-of-the-art knowledge of impact of extreme weather events and hazards on transport system. The 2-year project has utilised information from previously conducted research (EWENT, WEATHER and ECCONET projects as...";;FP7-TRANSPORT;;;;en;en;"2015-05-21 11:53:04";https://cordis.europa.eu/project/id/314506/reporting
pubsum;58277;;"Final Report Summary - ELECTROEXTRACTION (Protein electroextraction coupled to direct sorption - a new route for primary recovery of intracellular bioproducts from industrial yeast)";222220_PS;"Executive summary:

ELECTROEXTRACTION has proposed a novel primary recovery strategy, which targets intracellular derived products, which were biosynthesized in several microbial hosts, namely yeasts, algae, and bacteria. Protein electroextraction was introduced in industrial ...";;FP7-SME;;;;en;en;"2013-06-17 00:00:00";https://cordis.europa.eu/project/id/222220/reporting
project;194846;DARWIN;"Expecting the unexpected and know how to respond";653289;"In recent years crises and disasters (Eyjafjallajökull and Deepwater Horizon 2010, Fukushima Daiichi 2011) have made it obvious that a more resilient approach to preparing for and dealing with such events is needed. DARWIN will improve response to expected and unexpected...";;H2020-EU.3.7.;"/natural sciences/earth and related environmental sciences/geology/seismology;/social sciences/sociology/governance/crisis management;/social sciences/social geography/transport/transport planning/air traffic management";2015-06-01;2018-09-30;en;en;"2022-08-11 13:13:36";https://cordis.europa.eu/project/id/653289
project;74141;REPLACE;"Plants and their extracts and other natural alternatives to antimicrobials in feeds";506487;"Growth-promoting antibiotics will be banned in the EU by 2006. Livestock producers need alternative means of obtaining similar production benefits to maintain profitability and competitiveness against overseas producers, including the US, where such restri ctions do not exist....";;FP6-FOOD;"/medical and health sciences/basic medicine/immunology;/natural sciences/biological sciences/biochemistry/biomolecules/lipids;/medical and health sciences/health sciences/nutrition;/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmaceutical drugs/antibiotics;/agricultural sciences/animal and dairy science/domestic animals/animal husbandry";2004-03-01;2009-05-31;en;en;"2009-09-10 00:00:00";https://cordis.europa.eu/project/id/506487
programme;703214;;"Taking stock of the application of the precautionary principle in R&I";H2020_SwafS-18-2018;"Consortia will take stock of the implementation of PP since 2000 in various contexts, analyse the effects of the PP and propose several scenarios for the future of the PP and IP. Consortia are expected to examine international, EU, national (and sub-national) level initiatives...";;;;;;en;en;"2018-10-31 20:27:45";https://cordis.europa.eu/programme/id/H2020_SwafS-18-2018
projectDescription;427478;;"Strengthening science-based policy in the Black Sea";427478-strengthening-science-based-policy-in-the-black-sea;;;;;;;en;de,en,es,fr,it,pl;"2021-11-15 16:14:03";https://cordis.europa.eu/article/id/427478-strengthening-science-based-policy-in-the-black-sea
brief;87643;;"Better understanding societal changes across Europe";87643-better-understanding-societal-changes-across-europe;"The fourth European Social Survey succeeded in securing additional funding to support its infrastructure needs and realise its vision.";"Climate Change and Environment";FP6-CITIZENS;;;;en;de,en,es,fr,it,pl;"2011-12-16 14:00:40";https://cordis.europa.eu/article/id/87643-better-understanding-societal-changes-across-europe
brief;188518;;"Far-reaching benefits for keeping an ageing population active";188518-farreaching-benefits-for-keeping-an-ageing-population-active;"Many of the smart devices and technological infrastructure developed as part of the EU-funded FARSEEING project is now being used by new companies and research initiatives aimed at helping Europe’s ageing population live active, healthy and independent lives.";"Digital Economy";FP7-ICT;;;;en;de,en,es,fr,it,pl;"2016-09-09 13:41:58";https://cordis.europa.eu/article/id/188518-farreaching-benefits-for-keeping-an-ageing-population-active
deliverable;749517;;"Optimised WEEE collection to improve reuse";689157_56_DELIV;;;;;;;en;en;"2021-11-18 10:29:17";https://cordis.europa.eu/result/rcn/749517/en
deliverable;749523;;"Mobile shredder and a ”sagespaltautomat” in Hamburgs wood waste management system";689157_48_DELIV;;;;;;;en;en;"2021-11-18 10:30:49";https://cordis.europa.eu/result/rcn/749523/en
deliverable;749506;;"Evaluation of App as a guidance tool for Copenhagen citizens";689157_35_DELIV;;;;;;;en;en;"2021-11-18 10:29:16";https://cordis.europa.eu/result/rcn/749506/en
